id,label,degree,community,x,y,z
damonbethea1,151,29,2,514.050659,-597.188904,-550.778198
CorrectRecord,152,19,2,504.513855,-651.788452,-570.381531
Plantflowes,153,12,2,581.050171,-620.62677,-606.424438
WayneEdH,154,21,2,615.238525,-628.720764,-618.344238
llarks,155,5,1,465.113129,737.31543,-672.490723
josechasin,156,8,1,210.169846,959.243713,-634.357849
philmonaco67,157,19,0,-952.283447,-1103.172119,501.88382
FrenchForTrump,158,20,0,-1011.158997,-1199.11145,594.087158
IL9CD4Bernie,159,21,1,454.666382,829.575012,-453.432495
AngrySenSanders,160,7,1,481.846558,869.281189,-513.417847
JohnCzer1,161,5,1,330.427826,879.151794,-500.701019
WayneDupreeShow,163,70,0,-896.21106,-1085.862671,592.830139
KathyVanKlavere,164,4,0,-904.997742,-1076.550781,492.989136
heavenlyitalian,165,5,0,-738.391052,-1066.011353,475.090302
HouseCracka,166,66,0,-819.580322,-1087.914429,588.988708
renomarky,168,7,0,-698.027283,-950.537537,434.34201
RaySlamb,169,31,1,380.226196,850.935059,-189.446686
TweetingYarnie,170,57,1,491.816956,735.473938,-237.416031
Esteban15120999,174,11,0,-838.484375,-1044.686646,624.923279
Bernie4prezclip,176,18,1,380.156433,600.568848,-364.261688
psalm2607,177,6,6,16.016989,-670.556458,1092.286621
Joymar27,178,7,0,-1048.396851,-859.367737,643.504578
TrumpNewMedia,179,19,0,-981.338806,-814.032104,657.449768
Skyneye,180,10,1,470.011475,725.795715,-516.855957
YouLootWeShoot,182,3,0,-813.974243,-1038.476318,363.460571
CAS2328,183,10,1,346.50647,934.406616,-508.637726
scotty2971,184,20,1,549.780945,705.238892,-308.125702
TrumpMyPres,187,14,0,-766.546082,-840.719421,579.879456
JoshPainter2154,188,8,4,20.47142,-1318.058228,762.567017
shanevanderhart,189,3,4,70.634987,-1302.841553,736.799072
GuilloJavier27,190,6,0,-826.648926,-928.99884,678.521545
politico,192,15,2,-249.387802,-291.38855,24.247557
bcwilliams92,193,15,4,-155.681229,-1099.495117,576.052856
2ANow,194,4,4,74.847122,-590.071167,369.13092
Nicole28851,195,9,1,271.439331,944.985596,-574.427307
res0xhdb2,196,5,1,170.194183,212.507401,-230.853668
marcylauren,198,15,2,451.367615,-597.726746,-578.966553
NyniaChance,199,63,1,594.92865,863.598816,-432.825531
ThomasBernpaine,200,25,1,512.509827,938.432007,-438.817078
patriotmom61,203,23,5,968.295105,-811.723083,428.347382
alexandraheuser,204,14,5,967.778992,-797.791321,402.877289
YugeJets,206,24,0,-989.494446,-1176.660889,1001.656616
Bernlennials,208,95,1,336.280823,653.792542,-422.867523
CNN,210,30,1,-177.754639,-71.270248,89.33493
sdalas73,211,3,0,-1068.495483,-1058.165649,797.169983
tgradous,213,16,4,-70.439156,-1259.085205,623.598633
DarleneHBrook,214,21,4,-54.1866,-1307.013916,620.436401
asdhyatgsfhuho1,215,5,0,-967.204224,-1114.656372,919.958618
NadelParis,218,6,4,-266.288788,-1207.178589,379.433502
JohnJaeger_MT,219,7,0,-900.921936,-995.96991,705.603455
49f8f38790164c4,220,12,0,-1034.432373,-852.549927,534.510559
bobledford1961,221,6,0,-777.451355,-911.359985,802.215698
DefendingtheUSA,222,85,0,-765.302002,-871.134277,646.065552
TammyKosiancic,223,29,1,524.044006,791.94989,-357.286987
desmoinesdem,225,3,2,664.167664,-501.030457,-446.914185
unterricker,227,5,1,345.606049,974.023865,-610.351501
luvinlife1967,228,3,0,-1109.618408,-1035.633911,338.913452
TheBrodyFile,229,8,0,-1112.265259,-1025.838135,365.249329
ParisGirl3,230,9,5,990.261963,-821.84906,449.028046
BlueCollarUS,231,7,5,979.357971,-813.794128,456.203094
FoxNewsJunkie01,232,8,0,-842.808228,-955.958923,538.299622
LifeforceVibes,233,17,1,488.081177,732.803406,-516.252014
coniinthegarden,234,12,1,292.257019,866.740173,-291.146118
NJLOVESBERNIE,235,3,1,398.241028,760.17688,-511.193756
MADE__USA,237,23,0,-1023.514038,-934.786621,629.18927
CL4R4GU3RR4,239,32,1,428.659332,744.720764,-426.440247
LaborForBernie,240,64,1,405.31308,570.053589,-528.797119
DaleF3,241,14,1,289.646545,868.532166,-259.164307
PMorris153,242,7,2,533.026672,293.277527,-318.523987
DrJasonJohnson,243,3,2,521.711121,302.671753,-270.804016
josepharmagh,244,7,0,-843.112793,-1060.108154,413.692108
zazahan1,245,8,1,200.361465,918.563293,-380.612061
clark7950,252,9,0,-758.396484,-941.154236,521.40979
saskamare,253,10,0,-1052.55542,-907.333557,510.843231
Dollie_VAL,255,5,4,70.398735,-1342.582031,608.329956
brucereddenjr,256,22,4,21.745525,-1282.950562,608.415405
Berninitup,257,10,1,409.975677,1001.139404,-397.41861
idie0842,258,4,0,-1088.254272,-980.189758,502.851105
MAHAMOSA,260,50,1,450.609375,643.67157,-483.166382
summer0655,261,13,5,956.049683,-785.67395,435.860565
JamesSheaiv,263,18,1,329.341919,726.323608,-442.255737
asdytagshfbyho1,264,3,0,-970.366211,-1170.192749,955.285278
BERNIEORBUST1,265,33,1,474.536926,852.052124,-252.641113
WNC4Bernie,266,33,1,391.129791,655.961914,-576.839539
Scrufey21,268,8,0,-1003.398621,-1026.399536,734.601013
Samstwitch,269,18,0,-1013.231934,-988.077698,652.685852
100Concerned,270,10,1,497.436798,726.584839,-327.012695
erindschmitt66,273,4,0,-1074.329834,-915.824341,687.096741
nepafortrump,274,75,0,-986.052063,-893.30188,648.040649
ArrogantArahant,275,9,1,407.163635,701.634094,-669.140259
RoseAnnDeMoro,276,47,1,374.514618,605.124634,-619.48114
chrishradil,278,5,0,-763.246338,-915.335144,685.95636
LindaSuhler,279,121,0,-800.537231,-969.014648,624.131165
gcamp4,280,7,0,-968.708374,-1111.515869,486.642181
JohnGGalt,281,36,0,-994.60321,-1161.219482,490.318909
mike_winkleman,282,4,0,-813.316528,-887.235291,368.727722
DogoodII,283,3,0,-759.942078,-879.473389,371.110809
OHenryHernandez,284,7,2,420.1633,-669.772278,-459.686523
HunterHRC2016,285,9,2,534.656677,-678.866272,-556.898621
JackF2323,286,3,1,164.873047,946.135986,-417.521698
Spill_Erix,287,20,1,486.351013,811.866638,-605.05603
Arslan8830,288,9,1,244.980423,777.346741,-443.725098
PattonDivision,290,14,0,-837.842651,-908.794373,767.454468
larryclarry,291,10,1,404.250427,984.774414,-279.351349
Brains4Bern,292,32,1,387.466339,888.425781,-281.219055
Alex_Penguin_3,294,8,1,155.382339,622.32135,-415.576843
NoBigGovDuh,296,15,1,292.411407,791.698792,-270.751953
SmtStrgW4Trump,300,6,0,-872.189209,-1074.337769,619.4776
tmelissen1219,301,15,1,231.160049,452.152313,-369.878296
brokencarpenter,302,20,1,458.545715,732.608582,-561.380249
williamecurley,303,25,1,379.265808,791.956482,-434.16391
SusieLukas,304,9,0,-841.520142,-797.729004,540.226257
yclaes623,306,3,1,180.914993,779.479004,-346.156769
TODAYshow,308,13,0,-607.405029,-649.444336,370.034729
democracynow,310,10,1,272.870697,645.851685,-678.069092
marcorubio,312,52,6,189.34108,-970.912292,608.293335
tullyframe,313,7,0,-994.824463,-1113.772217,474.130371
CharlesMunn1,314,9,1,307.753967,499.429688,-415.523071
jenny_nalley,315,35,1,394.688446,716.328064,-567.081482
kujo71,316,33,1,447.568268,648.529663,-518.626526
hardwork_010,317,12,1,587.076538,758.957703,-406.055939
usfortrump,318,8,0,-1043.819458,-994.091858,563.40155
GlendaLenderman,320,6,1,389.088715,680.670105,-406.411224
Campaign4Bernie,322,18,1,246.005402,772.300232,-534.02655
BernRevolution,323,19,1,302.813965,865.768921,-712.367493
SoniaO529,326,9,0,-1000.747009,-938.548218,572.376587
asdasytfhjyhot1,327,3,0,-806.852417,-1135.111572,926.705994
frairemalissia1,328,4,0,-1059.446777,-1173.56665,985.249756
Bernie_Quotes,329,11,1,294.870209,861.843323,-577.806213
allybrooke27,330,5,0,-836.366211,-989.900879,574.804321
maryjones1417,331,4,0,-742.720947,-934.385498,611.514709
Jessispaul53S,332,4,0,-1023.621887,-1140.000732,975.258972
tates5a,334,22,1,277.149597,739.265259,-458.066376
MaryBeforeJane,336,8,1,356.701294,748.876221,-755.591675
Ae4Bernie,337,4,1,208.00528,985.292664,-442.957733
masspolitica,338,6,0,-868.782715,-987.107056,786.061157
PatriotBrother,339,4,4,-185.368622,-1335.443848,675.211731
SMolloyDVM,340,29,4,-80.514236,-1345.870239,690.347595
leoluminary,342,16,1,297.206543,700.650085,-452.262024
Bernie_Facts,344,43,1,350.36438,959.168518,-463.396912
OnlyTruthReign,345,25,1,639.220764,657.238342,-342.488708
IngrahamAngle,346,21,0,-901.923767,-1084.709229,404.830658
TeacherWarrior,348,14,1,189.276917,811.150391,-469.578888
ljreynolds13,349,15,2,491.448486,-532.042542,-493.982941
dollyp724,350,9,2,555.796265,-608.942261,-574.168945
BernieTweet2016,351,39,1,505.111206,928.941772,-387.892303
PatDollard,353,3,0,-511.778168,-835.614563,463.016357
wolfeprowler1,356,13,1,303.6539,605.332092,-482.013184
enzerukristin,357,16,1,461.085785,679.699646,-521.263367
JonBanquer,358,20,1,469.412079,805.320435,-196.496063
ireneberns,359,52,1,547.295349,730.573242,-196.528824
pollyantics,360,18,1,617.675903,738.317871,-373.828094
jjadamsny888,362,10,0,-817.731689,-1010.772888,613.254761
Ziga_Iglic,363,26,1,373.445313,1008.450195,-552.966736
Bernie45thPOTUS,364,8,1,583.728882,944.99231,-198.453415
LivingOnChi,365,38,1,526.924683,831.503906,-335.430695
JanetMenke,366,5,2,648.236145,-702.639465,-663.229126
BernieBrigade,368,35,1,314.339081,829.331177,-255.617157
mierdakansada,369,12,1,435.182861,985.908875,-449.524567
Ac2zoom,370,3,1,167.219193,927.53595,-524.555176
amrightnow,373,34,0,-966.534668,-806.967651,525.974365
NickDMoody,374,12,1,200.378494,992.727905,-359.269226
suzost,377,13,0,-819.46875,-1003.41748,565.188354
RockMetalKittyX,378,27,0,-1016.383667,-1109.494751,716.95874
winegirl73,379,8,0,-827.794067,-1149.630371,550.547241
merenguetontos,380,4,0,-736.439331,-1124.544067,482.388733
italydreamer15,382,11,5,948.60437,-772.56897,418.500244
Vets4Santorum,383,4,5,1010.13385,-809.825012,446.077332
joseph_carangi,386,19,1,395.69162,864.078796,-410.368744
laughingcat2016,387,22,1,450.134125,912.197754,-304.990387
Meli6402,388,7,0,-1026.058228,-918.919922,551.19928
markpintoart,389,10,1,495.414459,715.898254,-516.768372
WI4Bernie,390,5,1,567.138489,669.719543,-514.562561
j_lajara,391,13,1,292.380585,781.548767,-403.863678
CruzinAhead,392,17,4,67.363998,-1258.761841,657.211548
iowacruzgirl,393,32,4,39.154919,-1230.716064,589.730774
mitchellreports,395,6,2,425.789795,-401.491547,-497.537964
MatthewTwihard,397,4,3,-43.746479,-1267.025513,933.992676
GovMikeHuckabee,398,15,3,-69.501038,-1145.683472,1052.717407
SeanPolit,400,13,1,258.295959,861.041992,-527.259521
burberryant,401,8,1,403.965118,514.95874,-399.812531
GeeSungee,402,3,1,451.579163,523.910767,-487.932434
steph93065,403,20,0,-754.338989,-1080.638062,587.756531
JaredWyand,404,123,0,-714.423645,-1092.910278,545.764709
captainjackgirl,408,5,1,375.719299,909.250549,-443.320038
grannycoo,409,3,0,-764.577576,-963.09613,635.162048
donald_nielsen,411,3,1,339.362976,608.978271,-618.365906
mjc5549,412,23,1,397.502167,697.492432,-607.609375
fitethegoodfite,414,11,4,-13.250837,-1338.033447,640.731201
twojjrs,417,7,0,-794.935608,-949.005066,503.511536
Dispersi0n,418,11,1,337.627167,1004.050964,-572.420227
Big_Ahlers,419,4,0,-777.208496,-897.854309,495.983307
BPPope,421,16,0,-782.593628,-736.578064,348.173615
slone,422,65,0,-882.895386,-855.293823,402.342163
Denis_Varty2,423,7,1,316.374725,677.813599,-269.170715
lwest16,425,12,0,-799.890747,-1156.081665,559.283569
olotupaul2,426,3,6,-204.882965,-907.263062,581.829346
RMGarman,427,22,1,440.125854,1027.109131,-508.356354
TeenForBernie,429,25,1,473.813385,687.993042,-305.640381
kits54,433,3,6,-29.093596,-1136.932007,657.89679
Norsu2,434,17,6,77.022209,-1009.645142,664.904175
QuinnDaGhost,439,44,1,358.346985,856.943787,-278.762787
Esther_Jang_,441,7,6,-56.520542,-710.001221,1034.541626
1776tamara,443,3,0,-877.924377,-786.74176,665.507385
MLK_MPLS,445,17,1,603.875854,908.13385,-217.600601
JamiaStarheart,446,8,1,499.763885,561.967773,-205.775909
RickSantorum,451,22,5,864.569031,-838.319824,485.556854
jhutch1992,455,69,1,191.645477,1013.79425,-540.202881
pans44,457,4,1,197.852798,779.063538,-489.335815
Latinos4Bernie,458,69,1,271.054443,750.041321,-352.279083
Greeenguy111,459,13,1,562.796204,523.946838,-181.433105
SherryNothingam,460,4,1,187.389725,941.627991,-313.634216
StewartDorinda,463,7,0,-196.001587,-44.487377,64.721245
JesusForBernie,465,30,1,358.759247,878.111389,-312.496368
RosanderJohan,466,4,1,402.924866,1047.295654,-603.191467
Justified_Not,467,9,0,-667.933533,-922.813782,465.717987
realbigstriper,470,9,0,-923.453918,-874.419556,624.639954
DefTonegirl,471,15,1,451.177734,638.715637,-444.341034
BRios82,473,12,2,615.603149,-527.381836,-516.39093
ChgocadChic,475,13,4,-164.441727,-1257.983398,624.17865
jphilman0206,476,20,4,-45.388729,-1354.474854,638.626709
MicMej231997,480,7,1,314.825287,885.898682,-248.28595
NARAL,485,10,2,523.365051,-750.279846,-569.338623
JoeMon49,486,10,1,479.224487,1000.471069,-318.662018
PParzival,487,3,1,300.278229,899.898804,-651.465088
cerah_hedrick,488,5,1,487.294525,735.720703,-731.807373
HowitzerDoogie,490,10,1,511.053223,754.158081,-457.889557
RBPundit,492,7,6,215.285355,-798.834595,517.35376
railgirl1952,493,7,0,-897.007813,-1034.703247,655.330017
Sir_Thorne,494,3,1,518.492676,670.105225,-357.544006
WorldForBernie,495,29,1,576.229553,680.170044,-344.509827
TexasSheBandit,496,4,4,-58.233795,-1257.121216,704.076477
Republikim1,497,14,4,-61.63092,-1235.760864,669.40686
punjabimodern1,500,3,2,571.063171,-614.028809,-666.664429
VoteHillary2016,501,4,2,530.211731,-548.849182,-616.577759
k_devi,502,77,1,440.835571,896.01123,-604.298584
trendingsohard,506,9,1,518.901367,1061.010376,-501.964233
ralphb47,508,3,2,619.874817,-653.471252,-556.882324
peterdaou,509,25,2,554.856995,-702.566772,-574.360168
alenaforbernie,511,3,1,153.880615,958.841492,-437.348633
wrldstrndupside,512,13,2,485.916168,-572.732849,-567.315979
jamesmarie33,513,18,1,498.725128,738.429138,-463.769104
VVeljkovich,516,4,1,442.962402,892.657166,-649.154846
PositivelyCanDo,521,3,1,192.658569,888.597351,-424.005005
densievachez,522,4,1,181.328156,1051.024902,-445.50177
YoBenCohen,523,64,1,203.919937,994.819397,-392.460388
WavRidr101,524,4,0,-962.997131,-862.548828,419.150574
MalyndaNyc,525,21,1,599.744263,714.281677,-301.887299
RealJamesWoods,530,21,4,-504.13562,-1073.865967,654.382324
snowsurfvt,531,5,1,371.869812,892.196045,-239.676926
memona_cogitare,534,5,1,580.499573,690.275085,-487.191437
Biondabella,535,3,0,-879.476563,-869.420593,775.5354
trumpology,536,12,0,-897.379761,-929.706787,459.264526
FuentesBeatrice,537,9,1,111.209969,522.946594,-278.42981
foxandfriends,539,38,6,-657.695313,-978.005981,579.253479
billclinton,541,5,2,635.466003,-692.588867,-659.38147
mrbabypants,542,3,1,598.305847,819.011414,-784.508057
NancyWonderful,543,6,1,599.974487,761.251526,-790.126465
jmdonsi,544,5,0,-747.201477,-917.174561,628.861084
SarahLeeAnne,545,12,5,1000.953064,-822.591858,460.971222
Emmme30,546,7,5,973.168701,-844.361816,470.737671
mariovillafuer4,547,3,1,184.221802,822.743896,-293.250275
aliwojo19,550,8,0,-959.494568,-961.671753,709.313477
P0TUSTrump,551,14,0,-1049.340698,-983.440369,765.630371
ashydtasyjfhho1,552,3,0,-1073.101074,-1119.857788,958.794067
Kamgirl47,554,4,2,536.182007,-738.724854,-748.951904
adlangston75,556,6,6,14.35685,-473.192017,709.797363
shupe_laura,557,4,6,-10.367969,-506.221069,709.054749
bworrall2,559,3,0,-1018.610901,-1020.675293,489.826263
wings84,560,4,5,929.870483,-813.962769,465.482819
LordWhatAMess,564,4,1,452.000305,702.615356,-243.703903
DefiningAmerica,565,41,1,593.851624,587.996216,-333.553802
GatuvelaK,566,7,1,484.72168,798.364868,-334.955536
ElenaNinj,567,7,6,-139.611847,-720.857849,1025.754639
KSISKProduction,570,13,0,-872.222412,-992.595947,600.719849
mann_cmann1008,571,4,0,-890.017944,-831.715637,599.041504
kemba722,573,8,1,429.3172,900.597839,-293.912781
roytatem,574,3,1,449.075439,967.357788,-137.962921
O_IrishT,576,11,0,-939.724487,-964.832825,703.090637
KohrAndrew,579,21,1,437.908112,912.197632,-162.989517
CallawayBOT,580,32,1,512.362976,792.554321,-180.225479
Dragons4Bernie,581,7,1,381.927429,956.860657,-725.300537
MMFlint,583,87,1,289.771362,731.858398,-187.550842
RETTinol,584,6,0,-1005.673645,-1043.18396,471.056427
bluegrasshaze,588,16,1,517.599487,621.691528,-170.336746
verda_verde,593,8,1,310.38678,650.256104,-494.262756
botting_world26,594,3,0,-1082.933838,-1109.422607,965.380615
CitzAbroad4Bern,595,33,1,477.170441,836.139465,-520.913025
JonathanPtrck,601,31,1,305.316986,978.764709,-425.965149
Debramax,602,6,0,-1135.600708,-1028.567139,478.769196
CraazzyKarl,603,4,0,-895.65625,-838.088379,728.036438
saforbernie,605,12,1,487.313538,892.621704,-308.499512
hartbeatlightly,606,17,1,438.716583,950.969482,-321.090179
NRO,610,18,4,38.336838,-654.672424,349.527893
wood_brdwood68,611,14,0,-1067.021851,-888.367737,537.198425
CarolynColson,613,4,0,-778.776978,-983.9021,553.503418
jaclynkellye,616,3,1,509.974976,617.493713,-731.466003
rockyacht,617,8,1,464.55481,838.340698,-615.685974
Sekhmara,619,6,1,435.453644,1033.655884,-311.164032
PeterCohen17,620,12,1,397.451111,743.99408,-368.404663
FreddyLawrence1,623,9,2,635.670349,-727.718201,-611.562134
AdamSmith_USA,624,20,2,586.359253,-719.894043,-616.284058
C4Constitution,625,12,0,-858.702087,-1037.406372,554.821472
RudolfSailor,628,3,1,157.532043,840.447083,-341.761963
VanStreetDog,629,6,1,419.476837,844.182251,-429.628479
ejabel2,630,11,0,-867.4552,-995.227905,665.078979
ZubinF,631,8,2,599.378723,-660.939392,-717.059631
NewDay,633,9,2,277.456848,-181.831955,-259.130035
ABCPolitics,635,26,1,-166.012909,30.579872,-2.416526
DailyJoshNews,637,4,1,194.374146,324.327942,-477.085236
Donna_West,639,12,2,466.521942,-616.369324,-540.697693
HillaryClinton,640,39,2,466.431366,-631.736694,-506.561981
Leahvukmir,642,3,6,136.708542,-999.612732,650.446106
throwupthehornz,643,3,1,597.295715,738.669434,-194.938614
Moon___Sister,644,16,1,451.170685,656.213501,-178.455017
IgoHAMnCHZ,647,7,1,281.259277,1049.160156,-601.387695
ChuckNellis,649,22,4,18.282064,-1401.178467,636.097168
Pantheriaa,652,3,0,-747.399902,-929.075378,564.654297
CNBCi,653,33,1,113.921997,345.25705,-217.021362
MonikaBosa,656,4,1,183.558945,770.655151,-491.779724
Brianco18779676,657,5,0,-855.684387,-1052.773193,723.526855
KoalaInTheOven,660,3,1,141.91153,944.655457,-491.170593
stevemeredith21,661,3,0,-523.169678,-1152.456421,540.977478
hurrystyles94,667,22,1,501.57193,938.329163,-475.347473
RBariekman,670,5,0,-1060.33667,-960.102417,502.047607
9975Ts,674,15,0,-848.067322,-1072.620483,555.779785
faagifts,675,24,0,-1005.393188,-1068.497192,531.826721
EmmaSegasture,676,32,1,420.897278,679.991333,-599.242126
MarieMa49685063,677,5,0,-789.774719,-720.122253,539.205505
Dad_Trump2,678,4,0,-953.877136,-941.436462,821.368286
BOSSYtxmar55,679,68,0,-872.724854,-967.311523,716.030457
USJeffersonianA,682,12,1,655.988403,669.737488,-304.773834
coblentzjx,687,5,3,-75.125534,-1145.0177,1098.829468
CarolChupp,688,11,3,-28.535851,-1137.412476,1155.435669
neaner069,689,16,1,414.756836,492.804962,-181.104385
lulujoy6101,696,12,0,-846.470459,-891.952148,760.019897
TheresaMechele,697,14,0,-975.003052,-856.157898,686.832947
TomatoPie1,698,4,0,-1055.273682,-844.691162,405.447388
winwarchr,699,6,0,-815.181885,-841.358398,687.549561
NicholsUprising,702,42,1,364.708099,571.892151,-574.253784
NC4TedCruz2016,706,4,6,96.34938,-1350.276245,691.141052
VoteForBernie16,709,6,1,158.494034,707.568604,-530.127014
achanu,710,15,1,219.166504,767.599792,-515.107361
SqlAgent01,711,4,0,-1069.797852,-993.409302,611.093689
Ladies4Santorum,715,4,5,1049.797363,-849.961792,497.222229
kimscloset,717,34,1,422.014008,519.889038,-328.000732
vgnsocjust,718,13,1,577.707092,745.816162,-601.795776
MmmBob,719,7,1,495.091797,705.587769,-685.047058
TrumpBMA1988,721,14,0,-897.127319,-1022.965942,413.29834
